Año,Periodo,Evol
2002,Semestre 1,41
2002,Semestre 2,41
2003,Semestre 1,41
2003,Semestre 2,42
2004,Semestre 1,42
2004,Semestre 2,42
2005,Semestre 1,43
2005,Semestre 2,43
2006,Semestre 1,44
2006,Semestre 2,44
2007,Semestre 1,44
2007,Semestre 2,45
2008,Semestre 1,45
2008,Semestre 2,45
2009,Semestre 1,46
2009,Semestre 2,46
2010,Semestre 1,46
2010,Semestre 2,46
2011,Semestre 1,46
2011,Semestre 2,46
2012,Semestre 1,46
2012,Semestre 2,46
2013,Semestre 1,46
2013,Semestre 2,46
2014,Semestre 1,46
2014,Semestre 2,46
2015,Semestre 1,46
2015,Semestre 2,46
2016,Semestre 1,46
2016,Semestre 2,46
2017,Semestre 1,46
2017,Semestre 2,46
2018,Semestre 1,46
2018,Semestre 2,46
2019,Semestre 1,46
2019,Semestre 2,47
2020,Semestre 1,47
2020,Semestre 2,47
2021,Semestre 1,47
2021,Semestre 2,47
